title,imdb,Genre,year,duration,certificate,description,Director,Stars
The Shawshank Redemption,93,Drama,1994,142,R,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Director: Frank Darabont ," Stars: Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler"
The Godfather,92,Crime,1972,175,R,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",Director: Francis Ford Coppola ," Stars: Marlon Brando, Al Pacino, James Caan, Diane Keaton"
The Dark Knight,90,Action,2008,152,PG-13,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Director: Christopher Nolan ," Stars: Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
Schindler's List,90,Biography,1993,195,R,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Director: Steven Spielberg ," Stars: Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall"
The Godfather Part II,90,Crime,1974,202,R,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Director: Francis Ford Coppola ," Stars: Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton"
The Lord of the Rings: The Return of the King,90,Action,2003,201,PG-13,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Director: Peter Jackson ," Stars: Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom"
12 Angry Men,90,Crime,1957,96,Approved,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Director: Sidney Lumet ," Stars: Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler"
Pulp Fiction,89,Crime,1994,154,R,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Director: Quentin Tarantino ," Stars: John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis"
Inception,88,Action,2010,148,PG-13,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Director: Christopher Nolan ," Stars: Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe"
The Lord of the Rings: The Fellowship of the Ring,88,Action,2001,178,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Director: Peter Jackson ," Stars: Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean"
Fight Club,88,Drama,1999,139,R,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Director: David Fincher ," Stars: Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier"
Forrest Gump,88,Drama,1994,142,PG-13,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Director: Robert Zemeckis ," Stars: Tom Hanks, Robin Wright, Gary Sinise, Sally Field"
"The Good, the Bad and the Ugly",88,Adventure,1966,178,Approved,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Director: Sergio Leone ," Stars: Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè"
The Lord of the Rings: The Two Towers,88,Action,2002,179,PG-13,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Director: Peter Jackson ," Stars: Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom"
Jai Bhim,88,Crime,2021,164,TV-MA,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",Director: T.J. Gnanavel ," Stars: Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan"
Spider-Man: Across the Spider-Verse,87,Animation,2023,140,PG,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Directors: Joaquim Dos Santos, Kemp Powers, Justin K. Thompson "," Stars: Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez"
Interstellar,87,Adventure,2014,169,PG-13,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",Director: Christopher Nolan ," Stars: Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy"
Goodfellas,87,Biography,1990,145,R,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",Director: Martin Scorsese ," Stars: Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco"
The Matrix,87,Action,1999,136,R,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Directors: Lana Wachowski, Lilly Wachowski "," Stars: Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving"
One Flew Over the Cuckoo's Nest,87,Drama,1975,133,R,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Director: Milos Forman ," Stars: Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco"
Star Wars: Episode V - The Empire Strikes Back,87,Action,1980,124,PG,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Director: Irvin Kershner ," Stars: Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams"
Rocketry: The Nambi Effect,87,Biography,2022,157,Not Rated,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.",Director: Madhavan ," Stars: Madhavan, Simran, Rajit Kapoor, Ravi Raghavendra"
Soorarai Pottru,87,Action,2020,153,TV-MA,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",Director: Sudha Kongara ," Stars: Suriya, Paresh Rawal, Aparna Balamurali, Urvashi"
Oppenheimer,86,Biography,2023,180,R,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.",Director: Christopher Nolan ," Stars: Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr."
Se7en,86,Crime,1995,127,R,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Director: David Fincher ," Stars: Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker"
The Silence of the Lambs,86,Crime,1991,118,R,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Director: Jonathan Demme ," Stars: Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons"
Saving Private Ryan,86,Drama,1998,169,R,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Director: Steven Spielberg ," Stars: Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns"
The Green Mile,86,Crime,1999,189,R,"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.",Director: Frank Darabont ," Stars: Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt"
